# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-1.698781e-12	3.198008e+01	5.049702e-08	2.524681e-08	2.525021e-08
0.01          	-1.466877e-09	7.281174e-01	-1.938463e-07	-9.839002e-08	-9.545626e-08
0.015         	-1.531377e-09	7.410280e-01	1.192365e-07	5.808685e-08	6.114960e-08
0.02          	-1.637482e-09	5.950531e-01	-1.370012e-08	-8.487541e-09	-5.212576e-09
0.025         	-1.685652e-09	5.489272e-01	3.091608e-09	-1.398482e-10	3.231456e-09
0.03          	-1.691589e-09	5.144168e-01	9.957738e-09	3.287280e-09	6.670458e-09
0.035         	-1.671661e-09	4.846641e-01	1.201478e-08	4.335729e-09	7.679050e-09
0.04          	-1.637969e-09	4.580838e-01	7.111091e-09	1.917577e-09	5.193514e-09
0.045         	-1.659904e-09	4.341071e-01	4.384512e-09	5.323520e-10	3.852160e-09
0.05          	-1.649554e-09	4.124169e-01	7.390899e-10	-1.280009e-09	2.019099e-09
0.055         	-1.614503e-09	3.927571e-01	-1.521615e-09	-2.375311e-09	8.536957e-10
0.06          	-1.559953e-09	3.749206e-01	-3.588516e-10	-1.739379e-09	1.380527e-09
0.065         	-1.490179e-09	3.587261e-01	-1.589482e-09	-2.284920e-09	6.954381e-10
0.07          	-1.409462e-09	3.439928e-01	-3.805638e-09	-3.312281e-09	-4.933570e-10
0.075         	-1.320197e-09	3.305765e-01	-5.121351e-09	-3.880873e-09	-1.240478e-09
0.08          	-1.225044e-09	3.183504e-01	-3.788090e-09	-3.119089e-09	-6.690004e-10
0.085         	-1.126091e-09	3.071765e-01	-5.333774e-09	-3.792979e-09	-1.540796e-09
0.09          	-1.025834e-09	2.969540e-01	-5.585235e-09	-3.818452e-09	-1.766783e-09
0.095         	-9.245760e-10	2.875780e-01	-7.253031e-09	-4.551092e-09	-2.701940e-09
0.1           	-1.268297e-09	2.789679e-01	-1.781653e-08	-1.017656e-08	-7.639966e-09
0.105         	-1.529225e-09	2.710597e-01	-1.846112e-08	-1.075978e-08	-7.701335e-09
0.11          	-1.718227e-09	2.637608e-01	-2.424890e-08	-1.384268e-08	-1.040622e-08
0.115         	-1.845216e-09	2.570174e-01	-2.491185e-08	-1.430114e-08	-1.061071e-08
0.12          	-1.919165e-09	2.507819e-01	-2.748601e-08	-1.566217e-08	-1.182384e-08
0.125         	-1.948198e-09	2.450045e-01	-2.796227e-08	-1.592933e-08	-1.203294e-08
0.13          	-1.939169e-09	2.396513e-01	-3.150282e-08	-1.769058e-08	-1.381224e-08
0.135         	-1.899377e-09	2.346734e-01	-3.353574e-08	-1.866725e-08	-1.486849e-08
0.14          	-1.833942e-09	2.300364e-01	-3.512825e-08	-1.939807e-08	-1.573018e-08
0.145         	-1.747645e-09	2.257097e-01	-3.699179e-08	-2.024354e-08	-1.674825e-08
0.15          	-1.644574e-09	2.216716e-01	-3.723814e-08	-2.026365e-08	-1.697450e-08
0.155         	-1.528359e-09	2.179060e-01	-3.909367e-08	-2.107519e-08	-1.801848e-08
0.16          	-1.402154e-09	2.143780e-01	-4.052544e-08	-2.166487e-08	-1.886057e-08
0.165         	-1.268242e-09	2.110736e-01	-4.128413e-08	-2.191031e-08	-1.937382e-08
0.17          	-1.129326e-09	2.079691e-01	-4.255388e-08	-2.240627e-08	-2.014761e-08
0.175         	-9.870556e-10	2.050504e-01	-4.336092e-08	-2.266751e-08	-2.069340e-08
0.18          	-8.429391e-10	2.023071e-01	-4.304192e-08	-2.236390e-08	-2.067802e-08
0.185         	-6.983586e-10	1.997293e-01	-4.466031e-08	-2.302851e-08	-2.163180e-08
0.19          	-5.545247e-10	1.973028e-01	-4.496162e-08	-2.303534e-08	-2.192629e-08
0.195         	-4.121699e-10	1.950114e-01	-4.548160e-08	-2.315297e-08	-2.232863e-08
