# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	8.513482e-12	3.250957e+01	-7.232818e-08	-3.615558e-08	-3.617260e-08
0.01          	-2.004127e-09	5.890199e-01	2.208993e-08	9.040839e-09	1.304909e-08
0.015         	-1.646111e-09	7.986012e-01	1.144695e-08	4.077364e-09	7.369586e-09
0.02          	-2.540624e-09	6.670709e-01	2.473740e-09	-1.303754e-09	3.777494e-09
0.025         	-3.089446e-09	5.989360e-01	7.420429e-08	3.401270e-08	4.019159e-08
0.03          	-3.366241e-09	5.417142e-01	5.095308e-08	2.211030e-08	2.884278e-08
0.035         	-3.425364e-09	4.939392e-01	5.120960e-08	2.217944e-08	2.903017e-08
0.04          	-3.312581e-09	4.540256e-01	4.095024e-08	1.716254e-08	2.378770e-08
0.045         	-3.070088e-09	4.205502e-01	5.070011e-08	2.227997e-08	2.842014e-08
0.05          	-2.738712e-09	3.923111e-01	4.900698e-08	2.176478e-08	2.724220e-08
0.055         	-2.350774e-09	3.683308e-01	5.159258e-08	2.344552e-08	2.814707e-08
0.06          	-1.932611e-09	3.478249e-01	5.311162e-08	2.462320e-08	2.848842e-08
0.065         	-1.503755e-09	3.301620e-01	5.316220e-08	2.507734e-08	2.808485e-08
0.07          	-1.078572e-09	3.148447e-01	5.374181e-08	2.579233e-08	2.794948e-08
0.075         	-6.669933e-10	3.014717e-01	5.469099e-08	2.667850e-08	2.801249e-08
0.08          	-2.757991e-10	2.897153e-01	5.502184e-08	2.723512e-08	2.778672e-08
0.085         	9.134056e-11	2.793132e-01	5.585035e-08	2.801652e-08	2.783384e-08
0.09          	4.322565e-10	2.700556e-01	5.662533e-08	2.874492e-08	2.788041e-08
0.095         	7.461029e-10	2.617650e-01	5.713158e-08	2.931189e-08	2.781969e-08
0.1           	1.032911e-09	2.543064e-01	5.796538e-08	3.001560e-08	2.794978e-08
0.105         	1.293503e-09	2.475622e-01	5.944429e-08	3.101565e-08	2.842864e-08
0.11          	1.528946e-09	2.414321e-01	5.590376e-08	2.948082e-08	2.642293e-08
0.115         	1.740446e-09	2.358393e-01	6.032742e-08	3.190415e-08	2.842326e-08
0.12          	1.929581e-09	2.307217e-01	6.015891e-08	3.200904e-08	2.814987e-08
0.125         	2.097623e-09	2.260132e-01	6.081513e-08	3.250519e-08	2.830994e-08
0.13          	2.246032e-09	2.216682e-01	6.142656e-08	3.295931e-08	2.846725e-08
0.135         	2.376205e-09	2.176528e-01	6.256788e-08	3.366015e-08	2.890774e-08
0.14          	2.489642e-09	2.139256e-01	6.162408e-08	3.330168e-08	2.832240e-08
0.145         	2.587568e-09	2.104571e-01	6.138199e-08	3.327856e-08	2.810343e-08
0.15          	2.671178e-09	2.072207e-01	6.246085e-08	3.390160e-08	2.855925e-08
0.155         	2.741415e-09	2.041975e-01	6.241025e-08	3.394654e-08	2.846371e-08
0.16          	2.799448e-09	2.013650e-01	6.142347e-08	3.351118e-08	2.791229e-08
0.165         	2.846351e-09	1.987085e-01	6.136659e-08	3.352965e-08	2.783695e-08
0.17          	2.883033e-09	1.962065e-01	6.156473e-08	3.366540e-08	2.789933e-08
0.175         	2.910127e-09	1.938539e-01	6.225915e-08	3.403970e-08	2.821945e-08
0.18          	2.928530e-09	1.916323e-01	6.338236e-08	3.461971e-08	2.876265e-08
0.185         	2.938928e-09	1.895373e-01	6.400334e-08	3.494060e-08	2.906274e-08
0.19          	2.942170e-09	1.875549e-01	6.348043e-08	3.468239e-08	2.879805e-08
0.195         	2.938659e-09	1.856742e-01	6.372555e-08	3.480143e-08	2.892411e-08
0.2           	2.929127e-09	1.838955e-01	6.181362e-08	3.383594e-08	2.797769e-08
0.205         	2.913987e-09	1.822055e-01	6.095747e-08	3.339272e-08	2.756475e-08
0.21          	2.893807e-09	1.806021e-01	6.075735e-08	3.327248e-08	2.748487e-08
0.215         	2.868985e-09	1.790780e-01	6.188916e-08	3.381356e-08	2.807559e-08
0.22          	2.839858e-09	1.776245e-01	6.407434e-08	3.487703e-08	2.919731e-08
0.225         	2.806809e-09	1.762433e-01	6.628366e-08	3.594864e-08	3.033502e-08
0.23          	2.770182e-09	1.749272e-01	6.553452e-08	3.553744e-08	2.999708e-08
0.235         	2.730339e-09	1.736709e-01	6.513078e-08	3.529573e-08	2.983505e-08
0.24          	2.687549e-09	1.724751e-01	6.559308e-08	3.548409e-08	3.010899e-08
0.245         	2.641996e-09	1.713330e-01	6.455733e-08	3.492066e-08	2.963667e-08
0.25          	2.594085e-09	1.702391e-01	6.545941e-08	3.532379e-08	3.013562e-08
0.255         	2.544026e-09	1.691968e-01	6.469590e-08	3.489198e-08	2.980393e-08
0.26          	2.492131e-09	1.681995e-01	6.499370e-08	3.498898e-08	3.000472e-08
0.265         	2.438557e-09	1.672484e-01	6.544195e-08	3.515953e-08	3.028242e-08
0.27          	2.383531e-09	1.663330e-01	6.514628e-08	3.495667e-08	3.018961e-08
0.275         	2.327154e-09	1.654609e-01	6.504013e-08	3.484722e-08	3.019291e-08
0.28          	2.269725e-09	1.646285e-01	6.399593e-08	3.426769e-08	2.972824e-08
0.285         	2.211289e-09	1.638271e-01	6.420080e-08	3.431169e-08	2.988911e-08
0.29          	2.151972e-09	1.630605e-01	6.461291e-08	3.445843e-08	3.015449e-08
0.295         	2.091939e-09	1.623289e-01	6.353075e-08	3.385731e-08	2.967344e-08
0.3           	2.031325e-09	1.616260e-01	6.319027e-08	3.362646e-08	2.956381e-08
0.305         	1.970211e-09	1.609532e-01	6.312802e-08	3.353422e-08	2.959380e-08
0.31          	1.908702e-09	1.603071e-01	6.801967e-08	3.591854e-08	3.210113e-08
0.315         	1.846768e-09	1.596903e-01	7.494076e-08	3.931715e-08	3.562361e-08
0.32          	1.784476e-09	1.591020e-01	6.715133e-08	3.536014e-08	3.179119e-08
0.325         	1.722133e-09	1.585335e-01	5.386218e-08	2.865322e-08	2.520896e-08
0.33          	1.659852e-09	1.579898e-01	7.387928e-08	3.859949e-08	3.527979e-08
0.335         	1.597530e-09	1.574692e-01	6.386845e-08	3.353176e-08	3.033670e-08
0.34          	1.535304e-09	1.569716e-01	6.067867e-08	3.187464e-08	2.880403e-08
0.345         	1.473208e-09	1.564903e-01	5.706628e-08	3.000635e-08	2.705993e-08
0.35          	1.411263e-09	1.560319e-01	7.131360e-08	3.706806e-08	3.424554e-08
0.355         	1.349547e-09	1.555931e-01	6.762452e-08	3.516181e-08	3.246271e-08
0.36          	1.288140e-09	1.551731e-01	6.592243e-08	3.424935e-08	3.167307e-08
0.365         	1.227119e-09	1.547698e-01	6.742803e-08	3.494113e-08	3.248690e-08
0.37          	1.166393e-09	1.543849e-01	6.740203e-08	3.486741e-08	3.253462e-08
0.375         	1.106072e-09	1.540177e-01	6.380897e-08	3.301056e-08	3.079841e-08
0.38          	1.046208e-09	1.536659e-01	6.507469e-08	3.358355e-08	3.149113e-08
0.385         	9.867853e-10	1.533279e-01	6.590682e-08	3.394019e-08	3.196662e-08
0.39          	9.278548e-10	1.530056e-01	6.534913e-08	3.360242e-08	3.174671e-08
0.395         	8.694454e-10	1.526969e-01	6.522117e-08	3.348003e-08	3.174114e-08
0.4           	8.115778e-10	1.524034e-01	6.596386e-08	3.379351e-08	3.217035e-08
0.405         	7.542692e-10	1.521207e-01	6.615766e-08	3.383310e-08	3.232456e-08
0.41          	6.975490e-10	1.518504e-01	6.629663e-08	3.384586e-08	3.245076e-08
0.415         	6.414168e-10	1.515936e-01	6.656033e-08	3.392158e-08	3.263875e-08
0.42          	5.858965e-10	1.513507e-01	6.586072e-08	3.351626e-08	3.234446e-08
0.425         	5.310202e-10	1.511169e-01	6.807014e-08	3.456609e-08	3.350405e-08
0.43          	4.767898e-10	1.508948e-01	5.157788e-08	2.626573e-08	2.531215e-08
0.435         	4.232348e-10	1.506837e-01	6.435077e-08	3.259862e-08	3.175215e-08
0.44          	3.703413e-10	1.504832e-01	7.716680e-08	3.895374e-08	3.821306e-08
0.445         	3.180901e-10	1.502927e-01	6.777730e-08	3.420674e-08	3.357056e-08
0.45          	2.665102e-10	1.501127e-01	6.620976e-08	3.337139e-08	3.283837e-08
0.455         	2.156321e-10	1.499426e-01	6.598102e-08	3.320614e-08	3.277488e-08
0.46          	1.654816e-10	1.497816e-01	6.877714e-08	3.455405e-08	3.422309e-08
0.465         	1.159951e-10	1.496256e-01	6.553329e-08	3.288264e-08	3.265065e-08
0.47          	6.721764e-11	1.494786e-01	6.613336e-08	3.313390e-08	3.299946e-08
